"MB Studio",10000,1000,ABCD-12345d
"Radiant Sweaters Ind. Ltd",18m-20m,1600,
"AXIS KNITWEARS LTD.",,2400,C-122194/15
"Amana Knittex Ltd.","18 Million USD",3000,XYZ-123
"CROSSLINE GROUP",,1900,xyz-123
"Cotton Zone Knit Composite Ltd.","15 Million USD",800,001773
"Farrell Fashions Limited",,570,XYZ-123
"Interstoff Apparels Ltd.","50 Millions USD",10000,
"KNIT HORIZON LTD.","9.75 Million USD",600,
"JAYANTI KNITWEARS LTD",,405,
"Adzi Trims Ltd",,,
"Square Denims Limited",,,
"Posh Garments Limited",,,
"Musa Trading Partner",,,
"Innert Fabric & Quilt Ltd.","20 million USD","550 Persons",xyz-123
"Fabrics Selor",,,
"M/S. KNIT PLUS LIMITED",,1078,xyz-123
"KNIT REFLEX LTD.",,1225,xyz-123
"C.A KNITWEAR LTD.",,,1058
"Nirzhor Knitwear Ltd.","8 Million USD",625,148
"Mithela Group",,,15/2021-22
"Tua-Ha Textiles Limited","US $ 16.8 million",2200,XYZ-123
"Plummy Fashions Limited.","US$ 35 Million",1750,XYZ-123
"Pride Group",,1031,xyz-123
"Farzana Group","$1.5 billion",2500,033763
"SPARKLE KNIT COMPOSITE LIMITED","USD 20.00 Million",436,XYZ-123
"ETTADE JEANS LIMITED",,1300,XYZ-123
"West Apparels Ltd",,800,XYZ-123
"ZEX Fashion BD Ltd","US$ 3.00 million",209,XYZ-123
"ACHIEVE FASHION LTD",,1350,XYZ-123
"S.M KNITWEAR LTD.","90 million us$/year",7200,XYZ-123
"Liberty Knitwear Limited",xyz-123,"7,350",XYZ-123
"MU FASHION LTD.","US$ 50.00 million",1200,XYZ-123
"ADIBA APPARELS",,550,XYZ-123
"Afrah Fashion Limited",,1049,XYZ-123
"Cosmo Group",,,XYZ-123
"RDM GROUP","$ 65 Million",14000,XYZ-123
"BARAKA FASHIONS LTD",,995,XYZ-123
"TEXEUROP (BD) LTD.","$ 50 Million",3392,XYZ-123
"BHIS Apparels Ltd","USD 44 million",3800,XYZ-123
"M.M. KNITWEAR LTD.","65 Million USD",2500,XYZ-123
"NUR GROUP","27 Million USD",3035,XYZ-123
"East West Industrial Park",,"7500 +",xyz-1234
"CLAMOON GARMENTS LIMITED","USD 11 million",593,XYZ-123
"Vintage sourcing Ltd","USD 1 lac 20 thousand",500,"L/S No: 282, Word  No: 48, Gazipur City Corporation"
"AUKO-TEX GROUP","$ 43.7 million",4200,XYZ-123
"KIMS CORPORATION LIMITED",,1300,XYZ-123
"J M Fashion","USD 50 Thousand",200,199002
"NORBAN GROUP","US$ 15 Million",3100,XYZ-123
"ROOT APPARELS LTD","USD 27 MILLION",1900,XYZ-123
"MB KNIT FASHION LIMITED",,"1,025",XYZ-123
"FRANK APPARELS LTD","USD 45 MILLION",1650,XYZ-123
"Contexture Ltd",$2000000,500,abcdzyz
"Contexture Ltd (expo knit wear ltd)","USD 4.5 million",500,xyz-123
"A PLUS GROUP",,2330,XYZ-123
"R.K. GROUP OF INDUSTRIES","USD  61  million",4000,XYZ-123
"Target Group",,5500,XYZ-123
"T.J. Sweaters Ltd.","USD  12 million",2551,
"Knittex Industries Ltd.",,1525,XYZ-123
"ACIS GARMENT SOLUTIONS","US$ 30 Million",840,
"XYZ Fashion",230000$,2000,MB2345690
"XYZ Fashion Wholesaler",230000$,2000,ABCD-1098
"Raiya Tex",,,xyz12345
"AUKO-TEX GROUP","$43.7 MILLION",4200,XYZ-123
"Daylight Textile Corporation",,145,
"ZABER AND ZUBAIR FABRICS LIMITED","180 Million USD",8000+,
"PARAMOUNT TEXTILE","40 million",4000,XYZ-123
"Unicom Textile Mills Ltd.",,5000,
"SHEPHERD INDUSTRIES LTD.",,2900,
"Asend Textile Mills Ltd.","3 - 4 million USD",95,
"BD KNIT DESIGN LTD","$ 16 Million",600,XYZ-123
"Bhawal Textile",,300,
"Shahid Garments",,,
"Bangla Poshak Limited.",,730,XYZ-123
"Asif Fashion",,,ABCD-1234
"Expo Knitwears Limited",,300,
"Cavron Limited",,100,XYZ-123
"Square Fashions",,,xyz-123
"Apparel Export Group",,1000,
"Dhaka Fareast Ltd",,730,XYZ-123
"Flaxen Group",,2000,
"Kazi Printing & Accessories Ltd.",,150,xyz-1234
"Urmi Group",,8000,XYZ-123
"Fashion Power Group","$ 117 Million","9,000",
"Unisource Fashion Ltd.","USD 11.30 million",1000,
"Basic Shirts Limited",,950,
"Fashion Power Group","$ 117 Million","9,000",
"SiATEX BD Limited","25 million",200,XYZ-123
"VERSATILE APPAREL (PVT.) LTD",,1405,XYZ-123
"M & J Group",,"9,633",
"Asrotex Group",,,
"RASA Fashion",,500,
"ASR FASHION",,,1257
